ID,LABEL
0,5
1,5
2,5
3,5
4,1
5,5
6,1
7,5
8,5
9,5
10,1
11,5
12,5
13,5
14,5
15,1
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,1
25,5
26,3
27,1
28,3
29,5
30,5
31,1
32,5
33,5
34,5
35,5
36,5
37,1
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
46,5
47,5
48,3
49,5
50,5
51,5
52,1
53,5
54,1
55,5
56,5
57,3
58,1
59,1
60,5
61,2
62,5
63,5
64,5
65,4
66,5
67,1
68,4
69,1
70,1
71,5
72,1
73,5
74,5
75,4
76,5
77,5
78,5
79,5
80,4
81,5
82,1
83,5
84,5
85,5
86,1
87,3
88,5
89,5
90,5
91,5
92,5
93,3
94,5
95,5
96,5
97,5
98,5
99,5
100,1
101,4
102,5
103,4
104,5
105,5
106,5
107,5
108,5
109,3
110,5
111,5
112,5
113,1
114,1
115,5
116,5
117,2
118,5
119,5
120,5
121,1
122,5
123,1
124,1
125,5
126,1
127,4
128,4
129,5
130,2
131,5
132,3
133,5
134,3
135,5
136,1
137,5
138,3
139,5
140,1
141,4
142,5
143,5
144,5
145,5
146,1
147,1
148,5
149,5
150,5
151,1
152,4
153,5
154,1
155,5
156,5
157,1
158,5
159,5
160,4
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,4
171,5
172,5
173,5
174,1
175,4
176,5
177,5
178,5
179,5
180,3
181,4
182,5
183,5
184,5
185,5
186,4
187,1
188,5
189,5
190,5
191,5
192,5
193,1
194,5
195,5
196,5
197,1
198,3
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,4
208,1
209,5
210,5
211,5
212,5
213,5
214,1
215,5
216,5
217,1
218,5
219,1
220,4
221,1
222,5
223,5
224,5
225,4
226,1
227,5
228,1
229,5
230,5
231,5
232,5
233,4
234,5
235,5
236,4
237,5
238,5
239,3
240,5
241,3
242,5
243,5
244,3
245,5
246,5
247,5
248,5
249,5
250,5
251,5
252,5
253,2
254,5
255,1
256,5
257,5
258,5
259,1
260,1
261,5
262,5
263,5
264,5
265,5
266,1
267,1
268,5
269,5
270,1
271,1
272,5
273,5
274,5
275,5
276,5
277,5
278,5
279,3
280,5
281,4
282,2
283,1
284,4
285,5
286,5
287,5
288,5
289,5
290,5
291,5
292,5
293,5
294,5
295,5
296,5
297,5
298,5
299,1
300,1
301,5
302,2
303,5
304,5
305,1
306,4
307,1
308,5
309,4
310,5
311,1
312,5
313,5
314,4
315,5
316,5
317,5
318,5
319,1
320,5
321,5
322,4
323,5
324,4
325,4
326,5
327,5
328,4
329,2
330,5
331,5
332,5
333,5
334,5
335,1
336,5
337,5
338,5
339,5
340,5
341,5
342,1
343,5
344,5
345,4
346,3
347,4
348,5
349,1
350,1
351,5
352,5
353,3
354,5
355,1
356,2
357,5
358,5
359,5
360,5
361,2
362,5
363,5
364,5
365,5
366,5
367,2
368,5
369,5
370,3
371,1
372,1
373,5
374,5
375,5
376,5
377,3
378,1
379,4
380,2
381,5
382,5
383,5
384,4
385,5
386,5
387,5
388,1
389,5
390,1
391,5
392,5
393,5
394,5
395,5
396,5
397,4
398,5
399,4
400,5
401,5
402,3
403,5
404,5
405,1
406,1
407,1
408,4
409,5
410,5
411,5
412,5
413,5
414,5
415,5
416,5
417,4
418,5
419,5
420,4
421,5
422,5
423,1
424,5
425,2
426,4
427,1
428,4
429,5
430,5
431,4
432,4
433,3
434,5
435,5
436,5
437,5
438,2
439,5
440,5
441,2
442,5
443,5
444,1
445,5
446,4
447,1
448,5
449,1
450,5
451,5
452,5
453,5
454,5
455,3
456,1
457,1
458,5
459,5
460,5
461,5
462,5
463,5
464,1
465,2
466,1
467,3
468,5
469,1
470,5
471,1
472,4
473,5
474,5
475,5
476,5
477,1
478,1
479,1
480,5
481,5
482,5
483,5
484,5
485,5
486,1
487,3
488,1
489,1
490,5
491,5
492,5
493,4
494,4
495,1
496,5
497,4
498,1
499,5
